1,TRUE,TRUE,avc1,TRUE,2,,,1920x1080,1,4000000,60
2,FALSE,FALSE,avc3,FALSE,5,,,1920x1080,1,4000000,60
3,TRUE,TRUE,avc3,TRUE,2,as 1,,1920x1080,1,4000000,60
4,FALSE,TRUE,avc1,TRUE,2,as 1,as 1,1920x1080,1,4000000,60
5,TRUE,FALSE,avc1,TRUE,2,as 1,as 1,1920x1080,1,4000000,60
6,TRUE,TRUE,avc3,FALSE,2,as 1,as 1,1920x1080,1,4000000,60
7,TRUE,TRUE,avc3,TRUE,2,as 1,as 1,1920x1080,1,4000000,60
8,TRUE,TRUE,avc1,TRUE,5,as 1,as 1,1920x1080,1,4000000,60
9,TRUE,TRUE,avc1,TRUE,2,as 2,as 1,1920x1080,1,4000000,60
10,TRUE,TRUE,avc1,TRUE,2,as 1,as 2,1920x1080,1,4000000,60
11,TRUE,TRUE,avc1,TRUE,2,as 1,as 3,1920x1080,1,4000000,60
12,TRUE,TRUE,avc1,TRUE,2,as 1,as 1,1024x576,1,2200000,60
13,TRUE,TRUE,avc1,TRUE,2,as 1,as 1,1024x576,1,1600000,60
14,TRUE,TRUE,avc1,TRUE,2,as 1,as 1,768x432,1,1000000,60
15,TRUE,TRUE,avc1,TRUE,2,as 1,as 1,512x288,1,512000,60
15,TRUE,TRUE,avc1,TRUE,2,as 1,as 1,512x288,0.5,512000,60
